A.L.E: Arcade Learning Environment (version 0.11.0+dfae0bd)
[Powered by Stella]
device : cuda
Episode 217 | Steps 41542 | Return 0.0
Episode 218 | Steps 41780 | Return 3.0
Episode 219 | Steps 41934 | Return 1.0
Episode 220 | Steps 42087 | Return 1.0
Episode 221 | Steps 42367 | Return 4.0
Episode 222 | Steps 42679 | Return 5.0
Episode 223 | Steps 42932 | Return 3.0
Episode 224 | Steps 43277 | Return 5.0
Episode 225 | Steps 43480 | Return 2.0
Episode 226 | Steps 43671 | Return 2.0
Episode 227 | Steps 44058 | Return 7.0
Episode 228 | Steps 44212 | Return 1.0
Episode 229 | Steps 44534 | Return 4.0
Episode 230 | Steps 44690 | Return 1.0
Episode 231 | Steps 44920 | Return 2.0
Episode 232 | Steps 45081 | Return 1.0
Episode 233 | Steps 45252 | Return 1.0
Episode 234 | Steps 45380 | Return 0.0
Episode 235 | Steps 45660 | Return 4.0
Episode 236 | Steps 45938 | Return 4.0
Episode 237 | Steps 46223 | Return 4.0
Episode 238 | Steps 46347 | Return 0.0
Episode 239 | Steps 46581 | Return 3.0
Episode 240 | Steps 46801 | Return 2.0
Episode 241 | Steps 46955 | Return 1.0
Episode 242 | Steps 47082 | Return 0.0
Episode 243 | Steps 47466 | Return 10.0
Episode 244 | Steps 47635 | Return 1.0
Episode 245 | Steps 47895 | Return 4.0
Episode 246 | Steps 48060 | Return 1.0
Episode 247 | Steps 48319 | Return 4.0
Episode 248 | Steps 48492 | Return 1.0
Episode 249 | Steps 48615 | Return 0.0
Episode 250 | Steps 48769 | Return 1.0
Episode 251 | Steps 48927 | Return 1.0
Episode 252 | Steps 49063 | Return 0.0
Episode 253 | Steps 49221 | Return 1.0
Episode 254 | Steps 49507 | Return 4.0
Episode 255 | Steps 49866 | Return 6.0
Step 50000: epsilon = 0.820
Episode 256 | Steps 50166 | Return 4.0
Episode 257 | Steps 50340 | Return 1.0
Episode 258 | Steps 50625 | Return 4.0
Episode 259 | Steps 50814 | Return 2.0
Episode 260 | Steps 50945 | Return 0.0
Episode 261 | Steps 51288 | Return 5.0
Episode 262 | Steps 51487 | Return 2.0
Episode 263 | Steps 51867 | Return 7.0
Episode 264 | Steps 52280 | Return 7.0
Episode 265 | Steps 52466 | Return 2.0
Episode 266 | Steps 52727 | Return 3.0
Episode 267 | Steps 52858 | Return 0.0
Episode 268 | Steps 53017 | Return 1.0
Episode 269 | Steps 53179 | Return 1.0
Episode 270 | Steps 53377 | Return 2.0
Episode 271 | Steps 53633 | Return 3.0
Episode 272 | Steps 53815 | Return 2.0
Episode 273 | Steps 53986 | Return 1.0
Episode 274 | Steps 54214 | Return 3.0
Episode 275 | Steps 54504 | Return 4.0
Episode 276 | Steps 54733 | Return 3.0
Episode 277 | Steps 54943 | Return 2.0
Episode 278 | Steps 55084 | Return 0.0
Episode 279 | Steps 55428 | Return 6.0
Episode 280 | Steps 55583 | Return 1.0
Episode 281 | Steps 55782 | Return 2.0
Episode 282 | Steps 55918 | Return 0.0
Episode 283 | Steps 56192 | Return 3.0
Episode 284 | Steps 56399 | Return 2.0
Episode 285 | Steps 56612 | Return 2.0
Episode 286 | Steps 56879 | Return 3.0
Episode 287 | Steps 57141 | Return 4.0
Episode 288 | Steps 57345 | Return 2.0
Episode 289 | Steps 57550 | Return 2.0
Episode 290 | Steps 57779 | Return 2.0
Episode 291 | Steps 58176 | Return 6.0
Episode 292 | Steps 58426 | Return 4.0
Episode 293 | Steps 58650 | Return 2.0
Episode 294 | Steps 58788 | Return 0.0
Episode 295 | Steps 58989 | Return 2.0
Episode 296 | Steps 59320 | Return 6.0
Episode 297 | Steps 59590 | Return 3.0
Episode 298 | Steps 59810 | Return 3.0
Step 60000: epsilon = 0.784
Episode 299 | Steps 60077 | Return 4.0
Episode 300 | Steps 60232 | Return 1.0
Episode 301 | Steps 60492 | Return 3.0
Episode 302 | Steps 60702 | Return 2.0
Episode 303 | Steps 60915 | Return 2.0
Episode 304 | Steps 61118 | Return 2.0
Episode 305 | Steps 61326 | Return 2.0
Episode 306 | Steps 61674 | Return 6.0
Episode 307 | Steps 61831 | Return 1.0
Episode 308 | Steps 62035 | Return 2.0
Episode 309 | Steps 62253 | Return 3.0
Episode 310 | Steps 62410 | Return 1.0
Episode 311 | Steps 62659 | Return 3.0
Episode 312 | Steps 62892 | Return 2.0
Episode 313 | Steps 63170 | Return 4.0
Episode 314 | Steps 63402 | Return 3.0
Episode 315 | Steps 63602 | Return 2.0
Episode 316 | Steps 63813 | Return 2.0
Episode 317 | Steps 63983 | Return 1.0
Episode 318 | Steps 64244 | Return 4.0
Episode 319 | Steps 64416 | Return 1.0
Episode 320 | Steps 64568 | Return 1.0
Episode 321 | Steps 64786 | Return 3.0
Episode 322 | Steps 65006 | Return 2.0
Episode 323 | Steps 65193 | Return 2.0
Episode 324 | Steps 65364 | Return 1.0
Episode 325 | Steps 65609 | Return 3.0
Episode 326 | Steps 65782 | Return 1.0
Episode 327 | Steps 66061 | Return 4.0
Episode 328 | Steps 66280 | Return 3.0
Episode 329 | Steps 66514 | Return 3.0
Episode 330 | Steps 66818 | Return 4.0
